公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),董監酬勞(元),員工紅利-現金紅利金額(元),員工紅利-股票紅利金額(元),員工紅利-股票紅利股數(股),員工紅利-股票紅利股數佔盈餘轉增資之比例(%),有無全數分派員工股票紅利而股東未配發股票股利之情事,股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性,普通股每股面額
1101 - 台泥,股東會確認,1,,103/06/20,"3,433,265,532","10,026,730,397","22,485,540,706","13,993,536,207",2.3,0,"8,492,004,499",0,0,0,"86,385,293","60,139,567",0,0,0,無,,新台幣                 10.0000元
1101 - 台泥,董事會通過,1,103/03/27,103/06/20,"3,433,265,532","10,026,730,397","22,485,540,706","13,993,536,207",2.3,0,"8,492,004,499",0,0,0,"86,385,293","60,139,567",0,,,無,,新台幣                 10.0000元
1102 - 亞泥,股東會確認,1,,103/06/16,"6,605,257,514","6,805,829,676","19,411,747,963","12,820,675,025",1.8,0,"5,931,965,648",0.2,0,"65,910,729","212,615,256","283,487,008",0,0,0,無,,新台幣                 10.0000元
1102 - 亞泥,董事會通過,1,103/03/24,103/06/16,"6,605,257,514","6,805,829,676","19,411,747,963","12,820,675,025",1.8,0,"5,931,965,648",0.2,0,"65,910,729","212,615,256","283,487,008",0,,,無,,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,,103/06/18,"2,978,928,766","1,272,068,300","4,861,657,506","4,084,828,958",1,0,"776,828,548",0,0,0,"15,964,000","13,500,000",0,0,,無,,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,103/03/26,103/06/18,"2,978,928,766","1,272,068,300","4,861,657,506","4,473,243,232",0.5,0,"388,414,274",0,0,0,"15,964,000","13,500,000",0,,,無,,新台幣                 10.0000元
1104 - 環球水泥,股東會確認,1,,103/06/11,"1,365,783,634","1,113,121,298","2,399,241,391","1,734,960,294",0.9,0,"543,502,717",0.2,0,"12,077,838","21,200,461","21,200,461",0,0,0,無,,新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,103/03/19,103/06/11,"1,365,783,634","1,113,121,298","2,399,241,391","1,734,960,294",0.9,0,"543,502,717",0.2,0,"12,077,838","21,200,461","21,200,461",0,,,無,,新台幣                 10.0000元
1108 - 幸福水泥,股東會確認,1,,103/06/17,"30,673,332","179,444,343","245,909,434","63,777,312",0.45,0,"182,132,122",0,0,0,"8,074,995","4,844,997",0,0,0,無,,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,103/03/25,103/06/17,"30,673,332","179,444,343","245,909,434","63,777,312",0.45,0,"182,132,122",0,0,0,"8,074,995","4,844,997",0,,,無,,新台幣                 10.0000元
1109 - 信大水泥,股東會確認,1,,103/06/12,"291,920,510","274,531,610","599,951,971","94,751,059",1.2,0,"505,200,912",0,0,0,"9,883,138","4,941,569",0,0,0,無,,新台幣                 10.0000元
1109 - 信大水泥,董事會通過,1,103/04/21,103/06/12,"291,920,510","274,531,610","599,951,971","94,751,059",1.2,0,"505,200,912",0,0,0,"9,883,138","4,941,569",0,,,無,,新台幣                 10.0000元
1110 - 東泥,股東會確認,1,,103/06/27,"10,061,432","146,034,045","140,692,885","26,292,726",0.2,0,"114,400,159",0,0,0,"3,575,005","1,191,668",0,0,0,無,,新台幣                 10.0000元
1110 - 東泥,董事會通過,1,103/03/26,103/06/27,"10,061,432","146,034,045","140,692,885","26,292,726",0.2,0,"114,400,159",0,0,0,"3,575,005","1,191,668",0,,,無,,新台幣                 10.0000元
1201 - 味全公司,股東會確認,1,,103/06/26,"2,256,967,628","872,887,253","2,671,524,820","2,367,887,072",0.6,0,"303,637,748",0,0,0,0,0,0,0,0,無,,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),董監酬勞(元),員工紅利-現金紅利金額(元),員工紅利-股票紅利金額(元),員工紅利-股票紅利股數(股),員工紅利-股票紅利股數佔盈餘轉增資之比例(%),有無全數分派員工股票紅利而股東未配發股票股利之情事,股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性,普通股每股面額
1201 - 味全公司,董事會通過,1,103/03/27,103/06/26,"2,256,967,628","872,887,253","2,671,524,820","2,367,887,072",0.6,0,"303,637,748",0,0,0,0,0,0,,,無,,新台幣                 10.0000元
1203 - 味王公司,股東會確認,1,,103/06/26,"62,723,304","263,475,328","491,802,743","251,802,743",1,0,"240,000,000",0,0,0,"12,903,226","5,161,290",0,0,0,無,,新台幣                 10.0000元
1203 - 味王公司,董事會通過,1,103/03/26,103/06/26,"62,723,304","263,475,328","491,802,743","251,802,743",1,0,"240,000,000",0,0,0,"12,903,226","5,161,290",0,,,無,,新台幣                 10.0000元
1210 - 大成長城,股東會確認,1,,103/06/04,"981,084,567","1,795,695,465","2,606,865,241","341,036,370",1,0,"566,457,220",3,0,"169,937,165","15,000,000","15,000,000",0,0,0,無,,新台幣                 10.0000元
1210 - 大成長城,董事會通過,1,103/03/28,103/06/04,"981,084,567","1,795,695,465","2,606,865,241","1,473,950,801",1,0,"566,457,220",1,0,"56,645,722","15,000,000","15,000,000",0,,,無,,新台幣                 10.0000元
1213 - 大飲,股東會確認,1,,103/05/20,"47,005,047","16,434,526","63,424,573","63,424,573",0,0,0,0,0,0,0,0,0,0,0,無,,新台幣                 10.0000元
