公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1102 - 亞泥,董事會通過,1,107/03/23,107/06/26,"10,504,689,979","5,469,007,104","14,635,748,985","10,602,012,347",1.2,0,"4,033,736,638",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,107/03/28,107/06/21,"3,744,777,733","895,198,679","4,654,768,072","4,267,377,798",0.5,0,"387,390,274",0,0,0,新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,107/03/26,107/06/14,"3,381,337,036","1,411,666,347","4,651,836,748","3,932,866,637",1.1,0,"718,970,111",0,0,0,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,107/03/16,107/06/15,"273,620,117","-101,111,225","174,286,981","174,286,981",0,0,0,0,0,0,新台幣                 10.0000元
1109 - 信大水泥,董事會通過,1,107/03/30,107/06/21,"288,963,358","491,910,005","731,576,397","695,580,832",0.1,0,"35,995,565",0,0,0,新台幣                 10.0000元
1110 - 東泥,董事會通過,1,107/03/28,107/06/22,"101,591,122","61,403,254","156,510,306","99,310,227",0.1,0,"57,200,079",0,0,0,新台幣                 10.0000元
1201 - 味全公司,董事會通過,1,107/03/26,107/06/27,"-837,452,614","664,257,349","-216,770,557","-216,770,557",0,0,0,0,0,0,新台幣                 10.0000元
1203 - 味王公司,董事會通過,1,107/03/29,107/06/26,"326,362,658","442,579,156","714,434,104","402,434,104",1.3,0,"312,000,000",0,0,0,新台幣                 10.0000元
1210 - 大成長城,董事會通過,1,107/04/20,107/06/15,"1,408,142,301","2,238,816,885","3,424,222,375","1,435,957,546",2,0,"1,472,788,760",0.7,0,"51,547,607",新台幣                 10.0000元
1213 - 大飲,董事會通過,1,107/03/23,107/05/29,"50,922,816","1,986,867","52,710,788","52,710,788",0,0,0,0,0,0,新台幣                 10.0000元
1215 - 卜蜂企業,董事會通過,1,107/04/30,107/06/13,"923,646,614","1,433,069,758","2,192,559,787","1,388,586,793",3,0,"803,972,994",0,0,0,新台幣                 10.0000元
1216 - 統一,董事會通過,1,107/03/28,107/06/20,"2,944,886,506","39,844,853,512","38,461,567,858","7,210,483,042",5.5,0,"31,251,084,816",0,0,0,新台幣                 10.0000元
1217 - 愛之味,董事會通過,1,107/03/27,107/06/26,0,"133,106,481",0,0,0,0,0,0,0,0,新台幣                 10.0000元
1218 - 泰山企業,董事會通過,1,107/03/27,107/06/27,"-91,296,439","316,971,237","204,770,181","4,770,566",0.4,0,"199,999,615",0,0,0,新台幣                 10.0000元
1220 - 台榮,董事會通過,1,107/03/22,107/06/29,"94,795,643","77,339,387","164,401,091","93,569,913",0.4,0,"70,831,178",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1225 - 福懋油,董事會通過,1,107/03/29,107/06/26,"357,991,703","246,871,761","580,730,973","307,352,159",1.25,0,"273,378,814",0,0,0,新台幣                 10.0000元
1227 - 佳格,董事會通過,1,107/03/22,107/06/15,"1,145,287,877","2,173,043,400","2,922,397,249","1,092,218,067",2,0,"1,830,179,182",0,0,0,新台幣                 10.0000元
1229 - 聯華實業,董事會通過,1,107/03/29,107/06/26,"4,957,303,940","2,974,027,257","7,621,958,275","4,943,801,085",1.8,0,"1,721,672,480",1,0,"95,648,471",新台幣                 10.0000元
1231 - 聯華食品,董事會通過,1,107/03/22,107/06/27,"591,983,235","406,095,432","926,666,637","638,872,030",1.4,0,"223,840,247",0.4,0,"6,395,436",新台幣                 10.0000元
1232 - 大統益,董事會通過,1,107/03/22,107/06/13,"279,314,885","817,239,222","1,009,043,742","209,169,167",5,0,"799,874,575",0,0,0,新台幣                 10.0000元
1233 - 天仁,董事會通過,1,107/03/14,107/06/11,"1,416,310","175,424,350","206,959,810","3,127,927",2.25,0,"203,831,883",0,0,0,新台幣                 10.0000元
1234 - 黑松,董事會通過,1,107/03/23,107/06/22,"6,216,845,810","543,355,632","6,682,880,921","6,080,074,280",1.5,0,"602,806,641",0,0,0,新台幣                 10.0000元
1235 - 興泰,董事會通過,1,107/03/24,107/06/25,"253,902,544","306,864,636","530,096,254","469,433,924",0,0,0,1,0,"6,066,233",新台幣                 10.0000元
1236 - 宏亞食品,董事會通過,1,107/02/26,107/06/20,"144,907,823","-1,001,287","143,399,849","132,565,598",0.1,0,"10,834,251",0,0,0,新台幣                 10.0000元
