公司代號名稱,資料來源,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1101 - 台泥,股東會確認,1,108/03/22,108/06/12,"10,584,068,962","21,180,820,773","31,637,082,922","11,186,904,108",3.3,0,"16,856,366,706",0.7,0,"357,559,293",新台幣                 10.0000元
1101B - 台泥乙特,股東會確認,1,108/03/22,108/06/12,"10,584,068,962","21,180,820,773","31,637,082,922","11,186,904,108",0.09109589,0,"18,219,178",0,0,0,
1102 - 亞泥,股東會確認,1,108/03/21,108/06/24,"10,602,012,347","11,117,093,960","18,728,470,290","9,316,418,136",2.8,0,"9,412,052,154",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,108/03/27,108/06/21,"4,267,377,798","699,754,720","5,182,378,724","4,410,598,176",1,0,"771,780,548",0,0,0,新台幣                 10.0000元
1104 - 環泥,股東會確認,1,108/03/26,108/06/18,"3,932,866,637","1,057,293,070","4,998,578,830","4,344,969,638",1,0,"653,609,192",0,0,0,新台幣                 10.0000元
1108 - 幸福,股東會確認,1,108/03/22,108/06/12,"174,286,981","-176,973,356","-912,776","-912,776",0,0,0,0,0,0,新台幣                 10.0000元
1109 - 信大,股東會確認,1,108/03/29,108/06/21,"695,580,832","840,239,978","1,468,168,888","1,194,602,594",0.8,0,"273,566,294",0,0,0,新台幣                 10.0000元
1110 - 東泥,股東會確認,1,108/03/28,108/06/20,"97,972,266","65,680,064","277,168,872","219,968,793",0.1,0,"57,200,079",0,0,0,新台幣                 10.0000元
1201 - 味全,股東會確認,1,108/03/27,108/06/27,"-216,770,557","982,564,007","682,768,300","277,917,969",0.8,0,"404,850,331",0,0,0,新台幣                 10.0000元
1203 - 味王,股東會確認,1,108/03/28,108/06/26,"402,434,104","431,907,558","776,827,674","536,827,674",1,0,"240,000,000",0,0,0,新台幣                 10.0000元
1210 - 大成,股東會確認,1,108/03/28,108/05/31,"1,432,784,273","2,009,881,874","3,243,440,126","1,667,556,156",1.5,0,"1,181,912,980",0.5,0,"39,397,099",新台幣                 10.0000元
1213 - 大飲,董事會擬議,1,108/09/17,108/10/03,"52,710,788","-89,579,111","-36,850,122","-36,850,122",0,0,0,0,0,0,新台幣                 10.0000元
1215 - 卜蜂,股東會確認,1,108/05/06,108/06/26,"1,388,586,793","950,727,053","2,246,486,365","1,442,513,371",3,0,"803,972,994",0,0,0,新台幣                 10.0000元
1216 - 統一,股東會確認,1,108/03/27,108/06/18,"7,210,483,042","17,442,022,268","23,143,973,165","8,938,934,612",2.5,0,"14,205,038,553",0,0,0,新台幣                 10.0000元
1217 - 愛之味,股東會確認,1,108/03/26,108/06/27,0,"47,896,096",0,0,0,0,0,0,0,0,新台幣                 10.0000元
1218 - 泰山,股東會確認,1,108/03/27,108/05/23,"4,770,566","464,443,320","464,837,820","64,838,590",0.8,0,"399,999,230",0,0,0,新台幣                 10.0000元
1219 - 福壽,股東會確認,1,108/05/10,108/06/27,"66,615,380","-11,233,575","56,000,277","23,798,888",0.1,0,"32,201,389",0,0,0,新台幣                 10.0000元
1220 - 台榮,股東會確認,1,108/03/25,108/06/25,"50,082,131","93,390,855","134,133,900","52,678,046",0.46,0,"81,455,854",0,0,0,新台幣                 10.0000元
1225 - 福懋油,股東會確認,1,108/03/27,108/06/27,"307,352,159","255,631,984","538,637,573","287,129,064",1.15,0,"251,508,509",0,0,0,新台幣                 10.0000元
1227 - 佳格,股東會確認,1,108/03/22,108/06/13,"1,055,092,263","2,949,089,197","3,638,754,178","1,351,030,200",2.5,0,"2,287,723,978",0,0,0,新台幣                 10.0000元
1229 - 聯華,股東會確認,1,108/03/28,108/06/25,"4,943,801,085","2,476,292,101","7,767,627,810","5,558,148,129",1.6,0,"1,683,413,091",0.5,0,"52,606,659",新台幣                 10.0000元
1231 - 聯華食,股東會確認,1,108/03/22,108/06/21,"638,872,030","541,703,353","1,123,587,999","741,140,942",1.8,0,"299,306,397",0.5,0,"8,314,066",新台幣                 10.0000元
1232 - 大統益,股東會確認,1,108/03/19,108/06/11,"209,169,167","906,879,652","1,027,918,429","228,043,854",5,0,"799,874,575",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1233 - 天仁,股東會確認,1,108/03/14,108/06/13,"3,127,927","174,509,097","176,747,385","4,622,684",1.9,0,"172,124,701",0,0,0,新台幣                 10.0000元
1234 - 黑松,股東會確認,1,108/03/22,108/06/24,"6,080,074,281","696,309,428","6,686,995,363","6,044,001,613",1.6,0,"642,993,750",0,0,0,新台幣                 10.0000元
1235 - 興泰,股東會確認,1,108/05/10,108/06/24,"257,115,744","105,973,158","348,759,901","238,809,421",0,0,0,1.25,0,"10,995,048",新台幣                 10.0000元
1236 - 宏亞,股東會確認,1,108/02/26,108/06/21,"132,565,598","13,267,197","193,457,460","150,120,456",0.4,0,"43,337,004",0,0,0,新台幣                 10.0000元
1256 - 鮮活果汁-KY,股東會確認,1,108/03/07,108/05/29,"461,011,024","441,632,845","825,694,527","604,182,207",6.2,0,"190,746,720",1,0,"3,076,560",新台幣                 10.0000元
1301 - 台塑,股東會確認,1,108/03/25,108/06/11,"29,983,126,882","49,549,539,564","72,354,899,207","35,433,602,677",5.8,0,"36,921,296,530",0,0,0,新台幣                 10.0000元
1303 - 南亞,股東會確認,1,108/03/20,108/06/12,"10,955,058,470","52,746,021,387","52,344,364,986","12,690,257,041",5,0,"39,654,107,945",0,0,0,新台幣                 10.0000元
1304 - 台聚,股東會確認,1,108/03/08,108/06/12,"2,854,947,498","539,934,834","3,404,550,354","3,047,921,304",0.3,0,"356,629,050",0,0,0,新台幣                 10.0000元
1305 - 華夏,股東會確認,1,108/03/06,108/06/21,"1,050,565,614","1,276,156,327","2,207,305,184","1,244,462,055",1.5,0,"760,139,319",0.4,0,"20,270,381",新台幣                 10.0000元
1307 - 三芳,股東會確認,1,108/03/12,108/06/12,"1,919,193,456","302,932,916","2,213,697,079","2,014,788,016",0.5,0,"198,909,063",0,0,0,新台幣                 10.0000元
1308 - 亞聚,股東會確認,1,108/03/06,108/06/24,"1,538,199,476","286,826,160","1,822,815,565","1,656,500,742",0.3,0,"166,314,823",0,0,0,新台幣                 10.0000元
1309 - 台達化,股東會確認,1,108/03/06,108/06/24,"176,700,398","207,972,403","381,314,619","250,253,878",0.2,0,"65,530,371",0.2,0,"6,553,037",新台幣                 10.0000元
1310 - 台苯,股東會確認,1,108/03/11,108/06/28,"580,568,607","1,216,400,943","1,584,145,738","528,406,210",2,0,"1,055,739,528",0,0,0,新台幣                 10.0000元
1312 - 國喬,股東會確認,1,108/04/25,108/06/14,"6,464,895,601","2,960,106,175","9,176,901,598","9,164,901,598",0,0,0,0,0,0,新台幣                 10.0000元
1312A - 國喬特,股東會確認,1,108/04/25,108/06/14,"6,464,895,601","2,960,106,175","9,176,901,598","9,164,901,598",0.6,0,"12,000,000",0,0,0,
