"","公司代號","Profit_this_year_3","Profit_last_year_4","Profit_last_year_3","股東配發s盈餘分配之現金股利元股","Profit_this_year_4_P","DivideRatio","DividendPredict","收盤價","InterestRatePercent"
"1","2801",0.9,1.29,1.02,0.64,1.13823529411765,0.496124031007752,0.564705882352941,"22.85",0.0247136053546145
"2","2809",1.78,2.51,3.19,1.5,1.40056426332288,0.597609561752988,0.836990595611285,"34.05",0.0245812216038557
"3","2812",0.85,1.18,0.89,0.28,1.12696629213483,0.23728813559322,0.267415730337079,"12.10",0.0221004735815768
"4","2820",0.71,0.99,0.78,0.79,0.901153846153846,0.797979797979798,0.719102564102564,"15.05",0.0477809012692734
"5","2834",0.8,1.19,0.94,0.3,1.01276595744681,0.252100840336134,0.25531914893617,"12.65",0.0201833319317131
"6","2836",0.53,0.46,0.35,0.11,0.696571428571429,0.239130434782609,0.166571428571429,"9.85",0.0169108049311095
"7","2838",0.69,1.07,0.86,0,0.858488372093023,0,0,"11.15",0
"8","2845",0.9,1.08,0.83,0.45,1.1710843373494,0.416666666666667,0.487951807228916,"12.05",0.0404939259111133
"9","2849",0.89,1.26,0.83,1,1.3510843373494,0.793650793650794,1.07228915662651,"15.95",0.0672281602900631
"10","2897",0.43,0.4,0.3,0,0.573333333333333,0,0,"7.83",0
"11","5876",2.76,3.37,2.51,2,3.70565737051793,0.593471810089021,2.199203187251,"52.30",0.0420497741348183
"12","2855",1.22,0.87,0.88,0.69,1.20613636363636,0.793103448275862,0.956590909090909,"14.90",0.0642007321537523
"13","6005",0.76,0.61,0.7,0.4,0.662285714285714,0.655737704918033,0.434285714285714,"10.60",0.0409703504043127
"14","6024",2.57,4.73,4.26,3.4,2.85354460093897,0.718816067653277,2.05117370892019,"43.35",0.0473165792138452
"15","1101",3.24,4.37,3.35,3.3,4.22650746268657,0.755148741418764,3.19164179104478,"43.95",0.072619835973715
"16","1102",4.29,3.54,2.96,2.8,5.13060810810811,0.790960451977401,4.05810810810811,"48.80",0.0831579530350022
"17","1103",2.31,1.09,1.37,1,1.83788321167883,0.91743119266055,1.68613138686131,"21.75",0.0775232821545432
"18","1104",1.07,1.62,1.16,1,1.49431034482759,0.617283950617284,0.922413793103448,"19.45",0.0474248736814112
"19","1108",0,-0.44,-0.12,0,0,0,0,"8.37",0
"20","1109",1.87,2.38,1.4,0.8,3.179,0.336134453781513,1.06857142857143,"20.65",0.0517468004150813
"21","1110",0.07,0.12,0.16,0.1,0.0525,0.833333333333333,0.04375,"17.35",0.00252161383285303
"22","1201",2.55,1.94,2.02,0.8,2.4490099009901,0.412371134020619,1.00990099009901,"25.10",0.0402350992071319
"23","1203",1.46,1.82,1.44,1,1.84527777777778,0.549450549450549,1.01388888888889,"27.30",0.0371387871387871
"24","1210",2.32,2.75,2.12,1.5,3.00943396226415,0.545454545454545,1.64150943396226,"42.45",0.0386692446163077
"25","1213",-0.63,-1.58,-0.03,0,-33.18,0,0,"6.10",0
"26","1215",3.51,3.55,2.37,3,5.25759493670886,0.845070422535211,4.44303797468354,"65.90",0.067420910086245
"27","1216",2.85,3.07,2.61,2.5,3.35229885057471,0.814332247557003,2.72988505747126,"74.80",0.0364957895383859
"28","1217",0.2,0.1,0.13,0,0.153846153846154,0,0,"7.17",0
"29","1218",1.04,0.98,0.91,0.8,1.12,0.816326530612245,0.914285714285714,"22.30",0.0409993593850096
"30","1219",0.23,-0.03,-0.08,0.1,0.08625,-3.33333333333333,-0.2875,"18.60",-0.0154569892473118
"31","1220",0.46,0.53,0.42,0.46,0.580476190476191,0.867924528301887,0.503809523809524,"10.60",0.0475292003593891
"32","1225",1.11,1.17,0.79,1.15,1.64392405063291,0.982905982905983,1.61582278481013,"34.50",0.0468354430379747
"33","1227",2.69,3.25,2.4,2.5,3.64270833333333,0.769230769230769,2.80208333333333,"69.00",0.0406099033816425
"34","1229",2.1,2.35,1.84,1.6,2.6820652173913,0.680851063829787,1.82608695652174,"37.05",0.0492870973420173
"35","1231",1.76,3.26,2.22,1.8,2.5845045045045,0.552147239263804,1.42702702702703,"41.75",0.0341802880725036
"36","1232",4.63,5.67,3.9,5,6.73130769230769,0.881834215167549,5.93589743589744,"121.50",0.048855122929197
"37","1233",1.38,1.93,1.56,1.9,1.70730769230769,0.984455958549223,1.68076923076923,"39.80",0.042230382682644
"38","1234",1.7,1.73,1.43,1.6,2.05664335664336,0.92485549132948,1.9020979020979,"32.70",0.058168131562627
"39","1235",0.54,1.25,1.8,0,0.375,0,0,"22.00",0
"40","1236",-0.3,0.12,-0.33,0.4,0.109090909090909,3.33333333333333,0.363636363636364,"13.65",0.0266400266400266
"41","1256",13.66,14.35,12.47,6.2,15.7194065757819,0.43205574912892,6.79165998396151,"222.00",0.0305930629908176
